"IDDIRECCION","DETALLEDIRECCION","IDDISTRITO"
1,"Heredia Centro",10101
2,"Ciudad quesada,San Carlos",10102
3,"El centro de SanRafael de Heredia",10103
4,"Casa #3 Hatillo 8",10104
5,"Oroci de Cartago",10105
6,"Heredia Centro",10106
7,"Ciudad quesada,San Carlos",10107
8,"El centro de SanRafael de Heredia",10108
9,"Casa #3 Hatillo 8",10109
10,"Oroci de Cartago",10110
11,"Heredia Centro",10111
12,"Ciudad quesada,San Carlos",10201
13,"El centro de SanRafael de Heredia",10202
14,"Casa #3 Hatillo 8",10203
15,"Oroci de Cartago",10301
16,"Heredia Centro",10302
17,"Ciudad quesada,San Carlos",10303
18,"El centro de SanRafael de Heredia",10304
19,"Casa #3 Hatillo 8",10305
20,"Oroci de Cartago",10306
21,"Heredia Centro",10307
22,"Ciudad quesada,San Carlos",10308
23,"El centro de SanRafael de Heredia",10309
24,"Casa #3 Hatillo 8",10310
25,"Oroci de Cartago",10311
26,"Heredia Centro",10312
27,"Ciudad quesada,San Carlos",10313
28,"El centro de SanRafael de Heredia",10401
29,"Casa #3 Hatillo 8",10402
30,"Oroci de Cartago",10403
31,"Heredia Centro",10404
32,"Ciudad quesada,San Carlos",10405
33,"El centro de SanRafael de Heredia",10406
34,"Casa #3 Hatillo 8",10407
35,"Oroci de Cartago",10408
36,"Heredia Centro",10409
37,"Ciudad quesada,San Carlos",10501
38,"El centro de SanRafael de Heredia",10502
39,"Casa #3 Hatillo 8",10503
40,"Oroci de Cartago",10601
41,"Heredia Centro",10602
42,"Ciudad quesada,San Carlos",10603
43,"El centro de SanRafael de Heredia",10604
44,"Casa #3 Hatillo 8",10605
45,"Oroci de Cartago",10606
46,"Heredia Centro",10607
47,"Ciudad quesada,San Carlos",10701
48,"El centro de SanRafael de Heredia",10702
49,"Casa #3 Hatillo 8",10703
50,"Oroci de Cartago",10704
51,"Heredia Centro",10705
52,"Ciudad quesada,San Carlos",10706
53,"El centro de SanRafael de Heredia",10707
54,"Casa #3 Hatillo 8",10801
55,"Oroci de Cartago",10802
56,"Heredia Centro",10803
57,"Ciudad quesada,San Carlos",10804
58,"El centro de SanRafael de Heredia",10805
59,"Casa #3 Hatillo 8",10806
60,"Oroci de Cartago",10807
61,"Heredia Centro",10901
62,"Ciudad quesada,San Carlos",10902
63,"El centro de SanRafael de Heredia",10903
64,"Casa #3 Hatillo 8",10904
65,"Oroci de Cartago",10905
66,"Heredia Centro",10906
67,"Ciudad quesada,San Carlos",11001
68,"El centro de SanRafael de Heredia",11002
69,"Casa #3 Hatillo 8",11003
70,"Oroci de Cartago",11004
71,"Heredia Centro",11005
72,"Ciudad quesada,San Carlos",11101
73,"El centro de SanRafael de Heredia",11102
74,"Casa #3 Hatillo 8",11103
75,"Oroci de Cartago",11104
76,"Heredia Centro",11105
77,"Ciudad quesada,San Carlos",11201
78,"El centro de SanRafael de Heredia",11202
79,"Casa #3 Hatillo 8",11203
80,"Oroci de Cartago",11204
81,"Heredia Centro",11205
82,"Ciudad quesada,San Carlos",11301
83,"El centro de SanRafael de Heredia",11302
84,"Casa #3 Hatillo 8",11303
85,"Oroci de Cartago",11304
86,"Heredia Centro",11305
87,"Ciudad quesada,San Carlos",11401
88,"El centro de SanRafael de Heredia",11402
89,"Casa #3 Hatillo 8",11403
90,"Oroci de Cartago",11501
91,"Heredia Centro",11502
92,"Ciudad quesada,San Carlos",11503
93,"El centro de SanRafael de Heredia",11504
94,"Casa #3 Hatillo 8",11601
95,"Oroci de Cartago",11602
96,"Heredia Centro",11603
97,"Ciudad quesada,San Carlos",11604
98,"El centro de SanRafael de Heredia",11605
99,"Casa #3 Hatillo 8",11701
100,"Oroci de Cartago",11702
101,"Heredia Centro",11703
102,"Ciudad quesada,San Carlos",11801
103,"El centro de SanRafael de Heredia",11802
104,"Casa #3 Hatillo 8",11803
105,"Oroci de Cartago",11804
106,"Heredia Centro",11901
107,"Ciudad quesada,San Carlos",11902
108,"El centro de SanRafael de Heredia",11903
109,"Casa #3 Hatillo 8",11904
110,"Oroci de Cartago",11905
111,"Heredia Centro",11906
112,"Ciudad quesada,San Carlos",11907
113,"El centro de SanRafael de Heredia",11908
114,"Casa #3 Hatillo 8",11909
115,"Oroci de Cartago",11910
116,"Heredia Centro",11911
117,"Ciudad quesada,San Carlos",11912
118,"El centro de SanRafael de Heredia",12001
119,"Casa #3 Hatillo 8",12002
120,"Oroci de Cartago",12003
121,"Heredia Centro",12004
122,"Ciudad quesada,San Carlos",12005
123,"El centro de SanRafael de Heredia",12006
124,"Casa #3 Hatillo 8",20101
125,"Oroci de Cartago",20102
126,"Heredia Centro",20103
127,"Ciudad quesada,San Carlos",20104
128,"El centro de SanRafael de Heredia",20105
129,"Casa #3 Hatillo 8",20106
130,"Oroci de Cartago",20107
131,"Heredia Centro",20108
132,"Ciudad quesada,San Carlos",20109
133,"El centro de SanRafael de Heredia",20110
134,"Casa #3 Hatillo 8",20111
135,"Oroci de Cartago",20112
136,"Heredia Centro",20113
137,"Ciudad quesada,San Carlos",20114
138,"El centro de SanRafael de Heredia",20201
139,"Casa #3 Hatillo 8",20202
140,"Oroci de Cartago",20203
141,"Heredia Centro",20204
142,"Ciudad quesada,San Carlos",20205
143,"El centro de SanRafael de Heredia",20206
144,"Casa #3 Hatillo 8",20207
145,"Oroci de Cartago",20208
146,"Heredia Centro",20209
147,"Ciudad quesada,San Carlos",20210
148,"El centro de SanRafael de Heredia",20211
149,"Casa #3 Hatillo 8",20212
150,"Oroci de Cartago",20213
151,"Heredia Centro",20214
152,"Ciudad quesada,San Carlos",20301
153,"El centro de SanRafael de Heredia",20302
154,"Casa #3 Hatillo 8",20303
155,"Oroci de Cartago",20304
156,"Heredia Centro",20305
157,"Ciudad quesada,San Carlos",20307
158,"El centro de SanRafael de Heredia",20308
159,"Casa #3 Hatillo 8",20401
160,"Oroci de Cartago",20402
161,"Heredia Centro",20403
162,"Ciudad quesada,San Carlos",20404
163,"El centro de SanRafael de Heredia",20501
164,"Casa #3 Hatillo 8",20502
165,"Oroci de Cartago",20503
166,"Heredia Centro",20504
167,"Ciudad quesada,San Carlos",20505
168,"El centro de SanRafael de Heredia",20506
169,"Casa #3 Hatillo 8",20507
170,"Oroci de Cartago",20508
171,"Heredia Centro",20601
172,"Ciudad quesada,San Carlos",20602
173,"El centro de SanRafael de Heredia",20603
174,"Casa #3 Hatillo 8",20604
175,"Oroci de Cartago",20605
176,"Heredia Centro",20606
177,"Ciudad quesada,San Carlos",20607
178,"El centro de SanRafael de Heredia",20608
179,"Casa #3 Hatillo 8",20701
180,"Oroci de Cartago",20702
181,"Heredia Centro",20703
182,"Ciudad quesada,San Carlos",20704
183,"El centro de SanRafael de Heredia",20705
184,"Casa #3 Hatillo 8",20706
185,"Oroci de Cartago",20707
186,"Heredia Centro",20801
187,"Ciudad quesada,San Carlos",20802
188,"El centro de SanRafael de Heredia",20803
189,"Casa #3 Hatillo 8",20804
190,"Oroci de Cartago",20805
191,"Heredia Centro",20901
192,"Ciudad quesada,San Carlos",20902
193,"El centro de SanRafael de Heredia",20903
194,"Casa #3 Hatillo 8",20904
195,"Oroci de Cartago",20905
196,"Heredia Centro",21001
197,"Ciudad quesada,San Carlos",21002
198,"El centro de SanRafael de Heredia",21003
199,"Casa #3 Hatillo 8",21004
200,"Oroci de Cartago",21005
201,"Heredia Centro",21006
202,"Ciudad quesada,San Carlos",21007
203,"El centro de SanRafael de Heredia",21008
204,"Casa #3 Hatillo 8",21009
205,"Oroci de Cartago",21010
206,"Heredia Centro",21011
207,"Ciudad quesada,San Carlos",21012
208,"El centro de SanRafael de Heredia",21013
209,"Casa #3 Hatillo 8",21101
210,"Oroci de Cartago",21102
211,"Heredia Centro",21103
212,"Ciudad quesada,San Carlos",21104
213,"El centro de SanRafael de Heredia",21105
214,"Casa #3 Hatillo 8",21106
215,"Oroci de Cartago",21107
216,"Heredia Centro",21201
217,"Ciudad quesada,San Carlos",21202
218,"El centro de SanRafael de Heredia",21203
219,"Casa #3 Hatillo 8",21204
220,"Oroci de Cartago",21205
221,"Heredia Centro",21301
222,"Ciudad quesada,San Carlos",21302
223,"El centro de SanRafael de Heredia",21303
224,"Casa #3 Hatillo 8",21304
225,"Oroci de Cartago",21305
226,"Heredia Centro",21306
227,"Ciudad quesada,San Carlos",21307
228,"El centro de SanRafael de Heredia",21308
229,"Casa #3 Hatillo 8",21401
230,"Oroci de Cartago",21402
231,"Heredia Centro",21403
232,"Ciudad quesada,San Carlos",21404
233,"El centro de SanRafael de Heredia",21501
234,"Casa #3 Hatillo 8",21502
235,"Oroci de Cartago",21503
236,"Heredia Centro",21504
237,"Ciudad quesada,San Carlos",21601
238,"El centro de SanRafael de Heredia",21602
239,"Casa #3 Hatillo 8",21603
240,"Oroci de Cartago",30101
241,"Heredia Centro",30102
242,"Ciudad quesada,San Carlos",30103
243,"El centro de SanRafael de Heredia",30104
244,"Casa #3 Hatillo 8",30105
245,"Oroci de Cartago",30106
246,"Heredia Centro",30107
247,"Ciudad quesada,San Carlos",30108
248,"El centro de SanRafael de Heredia",30109
249,"Casa #3 Hatillo 8",30110
250,"Oroci de Cartago",30111
251,"Heredia Centro",30201
252,"Ciudad quesada,San Carlos",30202
253,"El centro de SanRafael de Heredia",30203
254,"Casa #3 Hatillo 8",30204
255,"Oroci de Cartago",30205
256,"Heredia Centro",30206
257,"Ciudad quesada,San Carlos",30301
258,"El centro de SanRafael de Heredia",30302
259,"Casa #3 Hatillo 8",30303
260,"Oroci de Cartago",30304
261,"Heredia Centro",30305
262,"Ciudad quesada,San Carlos",30306
263,"El centro de SanRafael de Heredia",30307
264,"Casa #3 Hatillo 8",30308
265,"Oroci de Cartago",30401
266,"Heredia Centro",30402
267,"Ciudad quesada,San Carlos",30403
268,"El centro de SanRafael de Heredia",30501
269,"Casa #3 Hatillo 8",30502
270,"Oroci de Cartago",30503
271,"Heredia Centro",30504
272,"Ciudad quesada,San Carlos",30505
273,"El centro de SanRafael de Heredia",30506
274,"Casa #3 Hatillo 8",30507
275,"Oroci de Cartago",30508
276,"Heredia Centro",30509
277,"Ciudad quesada,San Carlos",30510
278,"El centro de SanRafael de Heredia",30511
279,"Casa #3 Hatillo 8",30512
280,"Oroci de Cartago",30601
281,"Heredia Centro",30602
282,"Ciudad quesada,San Carlos",30603
283,"El centro de SanRafael de Heredia",30701
284,"Casa #3 Hatillo 8",30702
285,"Oroci de Cartago",30703
286,"Heredia Centro",30704
287,"Ciudad quesada,San Carlos",30705
288,"El centro de SanRafael de Heredia",30801
289,"Casa #3 Hatillo 8",30802
290,"Oroci de Cartago",30803
291,"Heredia Centro",30804
292,"Ciudad quesada,San Carlos",40101
293,"El centro de SanRafael de Heredia",40102
294,"Casa #3 Hatillo 8",40103
295,"Oroci de Cartago",40104
296,"Heredia Centro",40105
297,"Ciudad quesada,San Carlos",40201
298,"El centro de SanRafael de Heredia",40202
299,"Casa #3 Hatillo 8",40203
300,"Oroci de Cartago",40204
301,"Heredia Centro",40205
302,"Ciudad quesada,San Carlos",40206
303,"El centro de SanRafael de Heredia",40301
304,"Casa #3 Hatillo 8",40302
305,"Oroci de Cartago",40303
306,"Heredia Centro",40304
307,"Ciudad quesada,San Carlos",40305
308,"El centro de SanRafael de Heredia",40306
309,"Casa #3 Hatillo 8",40307
310,"Oroci de Cartago",40308
311,"Heredia Centro",40401
312,"Ciudad quesada,San Carlos",40402
313,"El centro de SanRafael de Heredia",40403
314,"Casa #3 Hatillo 8",40404
315,"Oroci de Cartago",40405
316,"Heredia Centro",40406
317,"Ciudad quesada,San Carlos",40501
318,"El centro de SanRafael de Heredia",40502
319,"Casa #3 Hatillo 8",40503
320,"Oroci de Cartago",40504
321,"Heredia Centro",40505
322,"Ciudad quesada,San Carlos",40601
323,"El centro de SanRafael de Heredia",40602
324,"Casa #3 Hatillo 8",40603
325,"Oroci de Cartago",40604
326,"Heredia Centro",40701
327,"Ciudad quesada,San Carlos",40702
328,"El centro de SanRafael de Heredia",40703
329,"Casa #3 Hatillo 8",40801
330,"Oroci de Cartago",40802
331,"Heredia Centro",40803
332,"Ciudad quesada,San Carlos",40901
333,"El centro de SanRafael de Heredia",40902
334,"Casa #3 Hatillo 8",41001
335,"Oroci de Cartago",41002
336,"Heredia Centro",41003
337,"Ciudad quesada,San Carlos",41004
338,"El centro de SanRafael de Heredia",41005
339,"Casa #3 Hatillo 8",50101
340,"Oroci de Cartago",50102
341,"Heredia Centro",50103
342,"Ciudad quesada,San Carlos",50104
343,"El centro de SanRafael de Heredia",50105
344,"Casa #3 Hatillo 8",50201
345,"Oroci de Cartago",50202
346,"Heredia Centro",50203
347,"Ciudad quesada,San Carlos",50204
348,"El centro de SanRafael de Heredia",50205
349,"Casa #3 Hatillo 8",50206
350,"Oroci de Cartago",50207
351,"Heredia Centro",50301
352,"Ciudad quesada,San Carlos",50302
353,"El centro de SanRafael de Heredia",50303
354,"Casa #3 Hatillo 8",50304
355,"Oroci de Cartago",50305
356,"Heredia Centro",50306
357,"Ciudad quesada,San Carlos",50307
358,"El centro de SanRafael de Heredia",50308
359,"Casa #3 Hatillo 8",50309
360,"Oroci de Cartago",50401
361,"Heredia Centro",50402
362,"Ciudad quesada,San Carlos",50403
363,"El centro de SanRafael de Heredia",50404
364,"Casa #3 Hatillo 8",50501
365,"Oroci de Cartago",50502
366,"Heredia Centro",50503
367,"Ciudad quesada,San Carlos",50504
368,"El centro de SanRafael de Heredia",50601
369,"Casa #3 Hatillo 8",50602
370,"Oroci de Cartago",50603
371,"Heredia Centro",50604
372,"Ciudad quesada,San Carlos",50605
373,"El centro de SanRafael de Heredia",50701
374,"Casa #3 Hatillo 8",50702
375,"Oroci de Cartago",50703
376,"Heredia Centro",50704
377,"Ciudad quesada,San Carlos",50801
378,"El centro de SanRafael de Heredia",50802
379,"Casa #3 Hatillo 8",50803
380,"Oroci de Cartago",50804
381,"Heredia Centro",50805
382,"Ciudad quesada,San Carlos",50806
383,"El centro de SanRafael de Heredia",50807
384,"Casa #3 Hatillo 8",50808
385,"Oroci de Cartago",50901
386,"Heredia Centro",50902
387,"Ciudad quesada,San Carlos",50903
388,"El centro de SanRafael de Heredia",50904
389,"Casa #3 Hatillo 8",50905
390,"Oroci de Cartago",50906
391,"Heredia Centro",51001
392,"Ciudad quesada,San Carlos",51002
393,"El centro de SanRafael de Heredia",51003
394,"Casa #3 Hatillo 8",51004
395,"Oroci de Cartago",51101
396,"Heredia Centro",51102
397,"Ciudad quesada,San Carlos",51103
398,"El centro de SanRafael de Heredia",51104
399,"Casa #3 Hatillo 8",51105
400,"Oroci de Cartago",60101
401,"Heredia Centro",60102
402,"Ciudad quesada,San Carlos",60103
403,"El centro de SanRafael de Heredia",60104
404,"Casa #3 Hatillo 8",60105
405,"Oroci de Cartago",60106
406,"Heredia Centro",60107
407,"Ciudad quesada,San Carlos",60108
408,"El centro de SanRafael de Heredia",60110
409,"Casa #3 Hatillo 8",60111
410,"Oroci de Cartago",60112
411,"Heredia Centro",60113
412,"Ciudad quesada,San Carlos",60114
413,"El centro de SanRafael de Heredia",60115
414,"Casa #3 Hatillo 8",60116
415,"Oroci de Cartago",60201
416,"Heredia Centro",60202
417,"Ciudad quesada,San Carlos",60203
418,"El centro de SanRafael de Heredia",60204
419,"Casa #3 Hatillo 8",60205
420,"Oroci de Cartago",60206
421,"Heredia Centro",60301
422,"Ciudad quesada,San Carlos",60302
423,"El centro de SanRafael de Heredia",60303
424,"Casa #3 Hatillo 8",60304
425,"Oroci de Cartago",60305
426,"Heredia Centro",60306
427,"Ciudad quesada,San Carlos",60307
428,"El centro de SanRafael de Heredia",60308
429,"Casa #3 Hatillo 8",60309
430,"Oroci de Cartago",60401
431,"Heredia Centro",60402
432,"Ciudad quesada,San Carlos",60403
433,"El centro de SanRafael de Heredia",60501
434,"Casa #3 Hatillo 8",60502
435,"Oroci de Cartago",60503
436,"Heredia Centro",60504
437,"Ciudad quesada,San Carlos",60505
438,"El centro de SanRafael de Heredia",60506
439,"Casa #3 Hatillo 8",60601
440,"Oroci de Cartago",60602
441,"Heredia Centro",60603
442,"Ciudad quesada,San Carlos",60701
443,"El centro de SanRafael de Heredia",60702
444,"Casa #3 Hatillo 8",60703
445,"Oroci de Cartago",60704
446,"Heredia Centro",60801
447,"Ciudad quesada,San Carlos",60802
448,"El centro de SanRafael de Heredia",60803
449,"Casa #3 Hatillo 8",60804
450,"Oroci de Cartago",60805
451,"Heredia Centro",60806
452,"Ciudad quesada,San Carlos",60901
453,"El centro de SanRafael de Heredia",61001
454,"Casa #3 Hatillo 8",61002
455,"Oroci de Cartago",61003
456,"Heredia Centro",61004
457,"Ciudad quesada,San Carlos",61101
458,"El centro de SanRafael de Heredia",61102
459,"Casa #3 Hatillo 8",61103
460,"Oroci de Cartago",61201
461,"Heredia Centro",70101
462,"Ciudad quesada,San Carlos",70102
463,"El centro de SanRafael de Heredia",70103
464,"Casa #3 Hatillo 8",70104
465,"Oroci de Cartago",70201
466,"Heredia Centro",70202
467,"Ciudad quesada,San Carlos",70203
468,"El centro de SanRafael de Heredia",70204
469,"Casa #3 Hatillo 8",70205
470,"Oroci de Cartago",70206
471,"Heredia Centro",70207
472,"Ciudad quesada,San Carlos",70301
473,"El centro de SanRafael de Heredia",70302
474,"Casa #3 Hatillo 8",70303
475,"Oroci de Cartago",70304
476,"Heredia Centro",70305
477,"Ciudad quesada,San Carlos",70306
478,"El centro de SanRafael de Heredia",70307
479,"Casa #3 Hatillo 8",70401
480,"Oroci de Cartago",70402
481,"Heredia Centro",70403
482,"Ciudad quesada,San Carlos",70404
483,"El centro de SanRafael de Heredia",70501
484,"Casa #3 Hatillo 8",70502
485,"Oroci de Cartago",70503
486,"Heredia Centro",70601
487,"Ciudad quesada,San Carlos",70602
488,"El centro de SanRafael de Heredia",70603
489,"Casa #3 Hatillo 8",70604
490,"Oroci de Cartago",70605
491,"Heredia Centro",10101
492,"Ciudad quesada,San Carlos",10102
493,"El centro de SanRafael de Heredia",10103
494,"Casa #3 Hatillo 8",10104
495,"Oroci de Cartago",10105
496,"Heredia Centro",10106
497,"Ciudad quesada,San Carlos",10107
498,"El centro de SanRafael de Heredia",10108
499,"Casa #3 Hatillo 8",10109
500,"Oroci de Cartago",10110
501,"Heredia Centro",10111
502,"Ciudad quesada,San Carlos",10201
503,"El centro de SanRafael de Heredia",10202
504,"Casa #3 Hatillo 8",10203
505,"Oroci de Cartago",10301
506,"Heredia Centro",10302
507,"Ciudad quesada,San Carlos",10303
508,"El centro de SanRafael de Heredia",10304
509,"Casa #3 Hatillo 8",10305
510,"Oroci de Cartago",10306
511,"Heredia Centro",10307
512,"Ciudad quesada,San Carlos",10308
513,"El centro de SanRafael de Heredia",10309
514,"Casa #3 Hatillo 8",10310
515,"Oroci de Cartago",10311
516,"Heredia Centro",10312
517,"Ciudad quesada,San Carlos",10313
518,"El centro de SanRafael de Heredia",10401
519,"Casa #3 Hatillo 8",10402
520,"Oroci de Cartago",10403
521,"Heredia Centro",10404
522,"Ciudad quesada,San Carlos",10405
523,"El centro de SanRafael de Heredia",10406
524,"Casa #3 Hatillo 8",10407
525,"Oroci de Cartago",10408
526,"Heredia Centro",10409
527,"Ciudad quesada,San Carlos",10501
