IDENVIO,IDDETALLEVENTA,IDCLIENTE,ESTADOENVIO,FECHA
1,1,1,EN PROCESO,11/12/2022
2,2,2,ENTREGADO,11/13/2022
3,3,3,EN PROCESO,11/14/2022
4,4,4,ENTREGADO,11/15/2022
5,5,5,EN PROCESO,11/16/2022
6,6,6,EN PROCESO,11/17/2022
7,7,7,ENTREGADO,11/18/2022
8,8,8,EN PROCESO,11/19/2022
9,9,9,ENTREGADO,11/20/2022
10,10,10,EN PROCESO,11/21/2022
11,11,11,EN PROCESO,11/22/2022
12,12,12,ENTREGADO,11/23/2022
13,13,13,EN PROCESO,11/24/2022
14,14,14,ENTREGADO,11/25/2022
15,15,15,EN PROCESO,11/26/2022
16,16,16,EN PROCESO,11/27/2022
17,17,17,ENTREGADO,11/28/2022
18,18,18,EN PROCESO,11/29/2022
19,19,19,ENTREGADO,11/30/2022
20,20,20,EN PROCESO,12/1/2022
21,21,21,EN PROCESO,12/2/2022
22,22,22,ENTREGADO,12/3/2022
23,23,23,EN PROCESO,12/4/2022
24,24,24,ENTREGADO,12/5/2022
25,25,25,EN PROCESO,1/1/2010
26,26,26,EN PROCESO,1/2/2010
27,27,27,ENTREGADO,1/3/2010
28,28,28,EN PROCESO,1/4/2010
29,29,29,ENTREGADO,1/5/2010
30,30,30,EN PROCESO,1/6/2010
31,31,31,EN PROCESO,1/7/2010
32,32,32,ENTREGADO,1/8/2010
33,33,33,EN PROCESO,1/9/2010
34,34,34,ENTREGADO,1/10/2010
35,35,35,EN PROCESO,1/11/2010
36,36,36,EN PROCESO,1/12/2010
37,37,37,ENTREGADO,1/13/2010
38,38,38,EN PROCESO,1/14/2010
39,39,39,ENTREGADO,1/15/2010
40,40,40,EN PROCESO,1/16/2010
41,41,41,EN PROCESO,1/17/2010
42,42,42,ENTREGADO,1/18/2010
43,43,43,EN PROCESO,1/19/2010
44,44,44,ENTREGADO,1/20/2010
45,45,45,EN PROCESO,1/21/2010
46,46,46,EN PROCESO,1/22/2010
47,47,47,ENTREGADO,1/23/2010
48,48,48,EN PROCESO,1/24/2010
49,49,49,ENTREGADO,1/25/2010
50,50,50,EN PROCESO,1/26/2010
51,51,51,EN PROCESO,1/27/2010
52,52,52,ENTREGADO,1/28/2010
53,53,53,EN PROCESO,1/29/2010
54,54,54,ENTREGADO,1/30/2010
55,55,55,EN PROCESO,1/31/2010
56,56,56,EN PROCESO,2/1/2010
57,57,57,ENTREGADO,2/2/2010
58,58,58,EN PROCESO,2/3/2010
59,59,59,ENTREGADO,2/4/2010
60,60,60,EN PROCESO,2/5/2010
61,61,61,EN PROCESO,2/6/2010
62,62,62,ENTREGADO,2/7/2010
63,63,63,EN PROCESO,2/8/2010
64,64,64,ENTREGADO,2/9/2010
