"IDFACTURA","IDCARRITO","IDEMPLEADO","FECHAFACTURA","SUBTOTAL","IVA","TOTALFACTURA","IDFORMAPAGO"
1,1,1,11/12/2022,2000,1500,2000,1
2,2,2,11/13/2022,3500,1500,3500,2
3,3,3,11/14/2022,5000,1500,5000,3
4,4,4,11/15/2022,15000,1500,15000,4
5,5,5,11/16/2022,28500,1500,28500,5
6,6,6,11/17/2022,2000,1500,2000,6
7,7,7,11/18/2022,3500,1500,3500,7
8,8,8,11/19/2022,5000,1500,5000,8
9,9,9,11/20/2022,15000,1500,15000,9
10,10,10,11/21/2022,28500,1500,28500,10
11,11,11,11/22/2022,2000,1500,2000,11
12,12,12,11/23/2022,3500,1500,3500,12
13,13,13,11/24/2022,5000,1500,5000,13
14,14,14,11/25/2022,15000,1500,15000,14
15,15,15,11/26/2022,28500,1500,28500,15
16,16,16,11/27/2022,2000,1500,2000,16
17,17,17,11/28/2022,3500,1500,3500,17
18,18,18,11/29/2022,5000,1500,5000,18
19,19,19,11/30/2022,15000,1500,15000,19
20,20,20,12/1/2022,28500,1500,28500,20
21,21,21,12/2/2022,2000,1500,2000,21
22,22,22,12/3/2022,3500,1500,3500,22
23,23,23,12/4/2022,5000,1500,5000,23
24,24,24,12/5/2022,15000,1500,15000,24
25,25,25,1/1/2010,28500,1500,28500,25
26,26,26,1/2/2010,2000,1500,2000,26
27,27,27,1/3/2010,3500,1500,3500,27
28,28,28,1/4/2010,5000,1500,5000,28
29,29,29,1/5/2010,15000,1500,15000,29
30,30,30,1/6/2010,28500,1500,28500,30
31,31,31,1/7/2010,2000,1500,2000,31
32,32,32,1/8/2010,3500,1500,3500,32
33,33,33,1/9/2010,5000,1500,5000,33
34,34,34,1/10/2010,15000,1500,15000,34
35,35,35,1/11/2010,28500,1500,28500,35
36,36,36,1/12/2010,2000,1500,2000,36
37,37,37,1/13/2010,3500,1500,3500,37
38,38,38,1/14/2010,5000,1500,5000,38
39,39,39,1/15/2010,15000,1500,15000,39
40,40,40,1/16/2010,28500,1500,28500,40
41,41,41,1/17/2010,2000,1500,2000,41
42,42,42,1/18/2010,3500,1500,3500,42
43,43,43,1/19/2010,5000,1500,5000,43
44,44,44,1/20/2010,15000,1500,15000,44
45,45,45,1/21/2010,28500,1500,28500,45
46,46,46,1/22/2010,2000,1500,2000,46
47,47,47,1/23/2010,3500,1500,3500,47
48,48,48,1/24/2010,5000,1500,5000,48
49,49,49,1/25/2010,15000,1500,15000,49
50,50,50,1/26/2010,28500,1500,28500,50
51,51,51,1/27/2010,2000,1500,2000,51
52,52,52,1/28/2010,3500,1500,3500,52
53,53,53,1/29/2010,5000,1500,5000,53
54,54,54,1/30/2010,15000,1500,15000,54
55,55,55,1/31/2010,28500,1500,28500,55
56,56,56,2/1/2010,2000,1500,2000,56
57,57,57,2/2/2010,3500,1500,3500,57
58,58,58,2/3/2010,5000,1500,5000,58
59,59,59,2/4/2010,15000,1500,15000,59
