"IDPROVEDOR","NOMBREPROVEDOR","CORREO","TELEFONO","CEDULAJURIDICA"
1,"Mayca",mayca@cr.com,22222222,165487835
2,"Provedor del este",pv@cr.com,22222222,165487835
3,"Carnes del Monte",carnes@cr.com,22222222,165487835
4,"Gaseosas CR",gas@cr.com,22222222,165487835
5,"Papas Cartago",papascartago@cr.com,22222222,165487835
6,"Mayca",mayca@cr.com,22222222,165487835
7,"Provedor del este",pv@cr.com,22222222,165487835
8,"Carnes del Monte",carnes@cr.com,22222222,165487835
9,"Gaseosas CR",gas@cr.com,22222222,165487835
10,"Papas Cartago",papascartago@cr.com,22222222,165487835
11,"Mayca",mayca@cr.com,22222222,165487835
12,"Provedor del este",pv@cr.com,22222222,165487835
13,"Carnes del Monte",carnes@cr.com,22222222,165487835
14,"Gaseosas CR",gas@cr.com,22222222,165487835
15,"Papas Cartago",papascartago@cr.com,22222222,165487835
16,"Mayca",mayca@cr.com,22222222,165487835
17,"Provedor del este",pv@cr.com,22222222,165487835
18,"Carnes del Monte",carnes@cr.com,22222222,165487835
19,"Gaseosas CR",gas@cr.com,22222222,165487835
20,"Papas Cartago",papascartago@cr.com,22222222,165487835
21,"Mayca",mayca@cr.com,22222222,165487835
22,"Provedor del este",pv@cr.com,22222222,165487835
23,"Carnes del Monte",carnes@cr.com,22222222,165487835
24,"Gaseosas CR",gas@cr.com,22222222,165487835
25,"Papas Cartago",papascartago@cr.com,22222222,165487835
26,"Mayca",mayca@cr.com,22222222,165487835
27,"Provedor del este",pv@cr.com,22222222,165487835
28,"Carnes del Monte",carnes@cr.com,22222222,165487835
29,"Gaseosas CR",gas@cr.com,22222222,165487835
30,"Papas Cartago",papascartago@cr.com,22222222,165487835
31,"Mayca",mayca@cr.com,22222222,165487835
32,"Provedor del este",pv@cr.com,22222222,165487835
33,"Carnes del Monte",carnes@cr.com,22222222,165487835
34,"Gaseosas CR",gas@cr.com,22222222,165487835
35,"Papas Cartago",papascartago@cr.com,22222222,165487835
36,"Mayca",mayca@cr.com,22222222,165487835
37,"Provedor del este",pv@cr.com,22222222,165487835
38,"Carnes del Monte",carnes@cr.com,22222222,165487835
39,"Gaseosas CR",gas@cr.com,22222222,165487835
40,"Papas Cartago",papascartago@cr.com,22222222,165487835
41,"Mayca",mayca@cr.com,22222222,165487835
42,"Provedor del este",pv@cr.com,22222222,165487835
43,"Carnes del Monte",carnes@cr.com,22222222,165487835
44,"Gaseosas CR",gas@cr.com,22222222,165487835
45,"Papas Cartago",papascartago@cr.com,22222222,165487835
46,"Mayca",mayca@cr.com,22222222,165487835
47,"Provedor del este",pv@cr.com,22222222,165487835
48,"Carnes del Monte",carnes@cr.com,22222222,165487835
49,"Gaseosas CR",gas@cr.com,22222222,165487835
