"IDCARRITO","IDPRODUCTO","ESTADOCOMPRA","CANTIDAD"
1,2,"cancelado",2
2,7,"pendiente",7
3,4,"cancelado",4
4,1,"pendiente",1
5,6,"cancelado",6
6,2,"cancelado",2
7,7,"pendiente",7
8,4,"cancelado",4
9,1,"pendiente",1
10,6,"cancelado",6
11,2,"cancelado",2
12,7,"pendiente",7
13,4,"cancelado",4
14,1,"pendiente",1
15,6,"cancelado",6
16,2,"cancelado",2
17,7,"pendiente",7
18,4,"cancelado",4
19,1,"pendiente",1
20,6,"cancelado",6
21,2,"cancelado",2
22,7,"pendiente",7
23,4,"cancelado",4
24,1,"pendiente",1
25,6,"cancelado",6
26,2,"cancelado",2
27,7,"pendiente",7
28,4,"cancelado",4
29,1,"pendiente",1
30,6,"cancelado",6
31,2,"cancelado",2
32,7,"pendiente",7
33,4,"cancelado",4
34,1,"pendiente",1
35,6,"cancelado",6
36,2,"cancelado",2
37,7,"pendiente",7
38,4,"cancelado",4
39,1,"pendiente",1
40,6,"cancelado",6
41,2,"cancelado",2
42,7,"pendiente",7
43,4,"cancelado",4
44,1,"pendiente",1
45,6,"cancelado",6
46,2,"cancelado",2
47,7,"pendiente",7
48,4,"cancelado",4
49,1,"pendiente",1
50,6,"cancelado",6
51,2,"cancelado",2
52,7,"pendiente",7
53,4,"cancelado",4
54,1,"pendiente",1
55,6,"cancelado",6
56,2,"cancelado",2
57,7,"pendiente",7
58,4,"cancelado",4
59,1,"pendiente",1
60,6,"cancelado",6
61,2,"cancelado",2
62,7,"pendiente",7
63,4,"cancelado",4
64,1,"pendiente",1
65,6,"cancelado",6
66,2,"cancelado",2
67,7,"pendiente",7
68,4,"cancelado",4
69,1,"pendiente",1
70,6,"cancelado",6
71,2,"cancelado",2
72,7,"pendiente",7
73,4,"cancelado",4
74,1,"pendiente",1
75,6,"cancelado",6
76,2,"cancelado",2
77,7,"pendiente",7
78,4,"cancelado",4
79,1,"pendiente",1
80,6,"cancelado",6
81,2,"cancelado",2
82,7,"pendiente",7
83,4,"cancelado",4
84,1,"pendiente",1
85,6,"cancelado",6
86,2,"cancelado",2
87,7,"pendiente",7
88,4,"cancelado",4
89,1,"pendiente",1
90,6,"cancelado",6
91,2,"cancelado",2
92,7,"pendiente",7
93,4,"cancelado",4
94,1,"pendiente",1
95,6,"cancelado",6
96,2,"cancelado",2
97,7,"pendiente",7
98,4,"cancelado",4
99,1,"pendiente",1
100,6,"cancelado",6
101,2,"cancelado",2
102,7,"pendiente",7
103,4,"cancelado",4
104,1,"pendiente",1
105,6,"cancelado",6
106,2,"cancelado",2
107,7,"pendiente",7
108,4,"cancelado",4
109,1,"pendiente",1
110,6,"cancelado",6
111,2,"cancelado",2
112,7,"pendiente",7
113,4,"cancelado",4
114,1,"pendiente",1
115,6,"cancelado",6
116,2,"cancelado",2
117,7,"pendiente",7
118,4,"cancelado",4
119,1,"pendiente",1
120,6,"cancelado",6
121,2,"cancelado",2
122,7,"pendiente",7
123,4,"cancelado",4
124,1,"pendiente",1
125,6,"cancelado",6
126,2,"cancelado",2
127,7,"pendiente",7
128,4,"cancelado",4
129,1,"pendiente",1
130,6,"cancelado",6
131,2,"cancelado",2
132,7,"pendiente",7
133,4,"cancelado",4
134,1,"pendiente",1
135,6,"cancelado",6
136,2,"cancelado",2
137,7,"pendiente",7
138,4,"cancelado",4
139,1,"pendiente",1
140,6,"cancelado",6
141,2,"cancelado",2
142,7,"pendiente",7
143,4,"cancelado",4
144,1,"pendiente",1
145,6,"cancelado",6
146,2,"cancelado",2
147,7,"pendiente",7
148,4,"cancelado",4
149,1,"pendiente",1
150,6,"cancelado",6
151,2,"cancelado",2
152,7,"pendiente",7
153,4,"cancelado",4
154,1,"pendiente",1
155,6,"cancelado",6
156,2,"cancelado",2
157,7,"pendiente",7
158,4,"cancelado",4
159,1,"pendiente",1
160,6,"cancelado",6
161,2,"cancelado",2
162,7,"pendiente",7
163,4,"cancelado",4
164,1,"pendiente",1
165,6,"cancelado",6
166,2,"cancelado",2
167,7,"pendiente",7
168,4,"cancelado",4
169,1,"pendiente",1
170,6,"cancelado",6
171,2,"cancelado",2
172,7,"pendiente",7
173,4,"cancelado",4
174,1,"pendiente",1
175,6,"cancelado",6
176,2,"cancelado",2
177,7,"pendiente",7
178,4,"cancelado",4
179,1,"pendiente",1
180,6,"cancelado",6
181,2,"cancelado",2
182,7,"pendiente",7
183,4,"cancelado",4
184,1,"pendiente",1
185,6,"cancelado",6
186,2,"cancelado",2
187,7,"pendiente",7
188,4,"cancelado",4
189,1,"pendiente",1
190,6,"cancelado",6
191,2,"cancelado",2
192,7,"pendiente",7
193,4,"cancelado",4
194,1,"pendiente",1
195,6,"cancelado",6
196,2,"cancelado",2
197,7,"pendiente",7
198,4,"cancelado",4
199,1,"pendiente",1
200,6,"cancelado",6
201,2,"cancelado",2
202,7,"pendiente",7
203,4,"cancelado",4
204,1,"pendiente",1
205,6,"cancelado",6
206,2,"cancelado",2
207,7,"pendiente",7
208,4,"cancelado",4
209,1,"pendiente",1
210,6,"cancelado",6
211,2,"cancelado",2
212,7,"pendiente",7
213,4,"cancelado",4
214,1,"pendiente",1
215,6,"cancelado",6
216,2,"cancelado",2
217,7,"pendiente",7
218,4,"cancelado",4
219,1,"pendiente",1
220,6,"cancelado",6
221,2,"cancelado",2
222,7,"pendiente",7
223,4,"cancelado",4
224,1,"pendiente",1
225,6,"cancelado",6
226,2,"cancelado",2
227,7,"pendiente",7
228,4,"cancelado",4
229,1,"pendiente",1
230,6,"cancelado",6
231,2,"cancelado",2
232,7,"pendiente",7
233,4,"cancelado",4
234,1,"pendiente",1
235,6,"cancelado",6
236,2,"cancelado",2
237,7,"pendiente",7
238,4,"cancelado",4
239,1,"pendiente",1
