"IDINVENTARIO","IDPROVEEDOR","IDINGREDIENTE","CANTIDAD","ESTADO"
1,1,1,2,"DISPONIBLE"
2,2,2,7,"AGOTADO"
3,3,3,4,"DISPONIBLE"
4,4,4,1,"AGOTADO"
5,5,5,6,"DISPONIBLE"
6,6,6,2,"DISPONIBLE"
7,7,7,7,"AGOTADO"
8,8,8,4,"DISPONIBLE"
9,9,9,1,"AGOTADO"
10,10,10,6,"DISPONIBLE"
11,11,11,2,"DISPONIBLE"
12,12,12,7,"AGOTADO"
13,13,13,4,"DISPONIBLE"
14,14,14,1,"AGOTADO"
15,15,15,6,"DISPONIBLE"
16,16,16,2,"DISPONIBLE"
17,17,17,7,"AGOTADO"
18,18,18,4,"DISPONIBLE"
19,19,19,1,"AGOTADO"
20,20,20,6,"DISPONIBLE"
21,21,21,2,"DISPONIBLE"
22,22,22,7,"AGOTADO"
23,23,23,4,"DISPONIBLE"
24,24,24,1,"AGOTADO"
25,25,25,6,"DISPONIBLE"
26,26,26,2,"DISPONIBLE"
27,27,27,7,"AGOTADO"
28,28,28,4,"DISPONIBLE"
29,29,29,1,"AGOTADO"
30,30,30,6,"DISPONIBLE"
31,31,31,2,"DISPONIBLE"
32,32,32,7,"AGOTADO"
33,33,33,4,"DISPONIBLE"
34,34,34,1,"AGOTADO"
35,35,35,6,"DISPONIBLE"
36,36,36,2,"DISPONIBLE"
37,37,37,7,"AGOTADO"
38,38,38,4,"DISPONIBLE"
39,1,39,1,"AGOTADO"
40,2,40,6,"DISPONIBLE"
41,3,41,2,"DISPONIBLE"
42,4,42,7,"AGOTADO"
43,5,43,4,"DISPONIBLE"
44,6,44,1,"AGOTADO"
45,7,45,6,"DISPONIBLE"
46,8,46,2,"DISPONIBLE"
47,9,47,7,"AGOTADO"
48,10,48,4,"DISPONIBLE"
49,11,49,1,"AGOTADO"
50,12,50,6,"DISPONIBLE"
51,13,51,2,"DISPONIBLE"
52,14,52,7,"AGOTADO"
53,15,53,4,"DISPONIBLE"
54,16,54,1,"AGOTADO"
55,17,55,6,"DISPONIBLE"
56,18,56,2,"DISPONIBLE"
57,19,57,7,"AGOTADO"
58,20,58,4,"DISPONIBLE"
59,21,59,1,"AGOTADO"
60,22,60,6,"DISPONIBLE"
61,23,61,2,"DISPONIBLE"
62,24,62,7,"AGOTADO"
63,25,63,4,"DISPONIBLE"
64,26,64,1,"AGOTADO"
65,27,65,6,"DISPONIBLE"
66,28,66,2,"DISPONIBLE"
67,29,67,7,"AGOTADO"
68,30,68,4,"DISPONIBLE"
69,31,69,1,"AGOTADO"
70,32,70,6,"DISPONIBLE"
71,33,71,2,"DISPONIBLE"
72,34,72,7,"AGOTADO"
73,35,73,4,"DISPONIBLE"
74,36,74,1,"AGOTADO"
75,37,75,6,"DISPONIBLE"
76,38,76,2,"DISPONIBLE"
77,1,77,7,"AGOTADO"
78,2,78,4,"DISPONIBLE"
79,3,79,1,"AGOTADO"
80,4,80,6,"DISPONIBLE"
81,5,81,2,"DISPONIBLE"
82,6,82,7,"AGOTADO"
83,7,83,4,"DISPONIBLE"
84,8,84,1,"AGOTADO"
85,9,85,6,"DISPONIBLE"
86,10,86,2,"DISPONIBLE"
87,11,87,7,"AGOTADO"
88,12,88,4,"DISPONIBLE"
89,13,89,1,"AGOTADO"
90,14,90,6,"DISPONIBLE"
91,15,91,2,"DISPONIBLE"
92,16,92,7,"AGOTADO"
93,17,93,4,"DISPONIBLE"
94,18,94,1,"AGOTADO"
95,19,95,6,"DISPONIBLE"
96,20,96,2,"DISPONIBLE"
97,21,97,7,"AGOTADO"
98,22,98,4,"DISPONIBLE"
99,23,99,1,"AGOTADO"
100,24,100,6,"DISPONIBLE"
101,25,101,2,"DISPONIBLE"
102,26,102,7,"AGOTADO"
103,27,103,4,"DISPONIBLE"
104,28,104,1,"AGOTADO"
105,29,105,6,"DISPONIBLE"
106,30,106,2,"DISPONIBLE"
107,31,107,7,"AGOTADO"
108,32,108,4,"DISPONIBLE"
109,33,109,1,"AGOTADO"
110,34,110,6,"DISPONIBLE"
111,35,111,2,"DISPONIBLE"
112,36,112,7,"AGOTADO"
113,37,113,4,"DISPONIBLE"
114,38,114,1,"AGOTADO"
115,1,115,6,"DISPONIBLE"
116,2,116,2,"DISPONIBLE"
117,3,117,7,"AGOTADO"
118,4,118,4,"DISPONIBLE"
119,5,119,1,"AGOTADO"
120,6,120,6,"DISPONIBLE"
121,7,121,2,"DISPONIBLE"
122,8,122,7,"AGOTADO"
123,9,123,4,"DISPONIBLE"
124,10,124,1,"AGOTADO"
125,11,125,6,"DISPONIBLE"
126,12,126,2,"DISPONIBLE"
127,13,127,7,"AGOTADO"
128,14,128,4,"DISPONIBLE"
129,15,129,1,"AGOTADO"
130,16,130,6,"DISPONIBLE"
131,17,131,2,"DISPONIBLE"
132,18,132,7,"AGOTADO"
133,19,133,4,"DISPONIBLE"
134,20,134,1,"AGOTADO"
135,21,135,6,"DISPONIBLE"
136,22,136,2,"DISPONIBLE"
137,23,137,7,"AGOTADO"
138,24,138,4,"DISPONIBLE"
139,25,139,1,"AGOTADO"
140,26,140,6,"DISPONIBLE"
141,27,141,2,"DISPONIBLE"
142,28,142,7,"AGOTADO"
143,29,143,4,"DISPONIBLE"
144,30,144,1,"AGOTADO"
145,31,145,6,"DISPONIBLE"
146,32,146,2,"DISPONIBLE"
