"IDPRODUCTO","NOMBREPRODUCTO","PRECIOPRODUCTO","DESCRIPCIONPRODUCTO","ESTADO","CANTIDADDISPONIBLE","IMAGENPRODUCTO","IDCATEGORIA"
1,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",1
2,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",2
3,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",3
4,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",4
5,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",5
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",6
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",7
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",8
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",9
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",10
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",11
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",12
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",13
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",14
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",15
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",16
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",17
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",18
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",19
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",20
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",21
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",22
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",23
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",24
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",25
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",26
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",27
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",28
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",29
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",30
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",31
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",32
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",33
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",34
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",35
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",36
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",37
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",38
